ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender,price_per_ml,price_per_ml_clip,combined_notes,price_log,notes_token_count,cluster
HRMN-0850,Helios,Velixir,445000.0,100.0,Edp,"coconut, mint, green notes","fig, marine notes","woody nites, tonka bean, vetiver",Day,Unisex,4450.0,4450.0,"coconut, mint, green notes, fig, marine notes, woody nites, tonka bean, vetiver",13.005831808336863,8,3
HRMN-0851,Galatea,Velixir,445000.0,100.0,Edp,"biscuit, caramel","milk, honey, white sugar, tonka bean","white musk, vanilla, praline, amber",Night,Unisex,4450.0,4450.0,"biscuit, caramel, milk, honey, white sugar, tonka bean, white musk, vanilla, praline, amber",13.005831808336863,10,3
HRMN-0852,Adonis,Velixir,445000.0,100.0,Edp,"lavender, bergamot, mint","madagascar vanilla, benzon base","amber, tonka bean, woody notes",Night,Unisex,4450.0,4450.0,"lavender, bergamot, mint, madagascar vanilla, benzon base, amber, tonka bean, woody notes",13.005831808336863,8,3
HRMN-0853,Athena,Velixir,445000.0,100.0,Edp,"litchi, rhubarb, grapefruit","bulgarian rose, freesia, vanilla","orris root, musk, akigalawood, vetiver",Day,Unisex,4450.0,4450.0,"litchi, rhubarb, grapefruit, bulgarian rose, freesia, vanilla, orris root, musk, akigalawood, vetiver",13.005831808336863,10,1
HRMN-0854,Garden of Words,Xociety,228900.0,50.0,Edp,"bergamot, rhubarb, grapefruit, pear, pineapple, lemon, mint, apple","jasmine, violet, rose, lily of the valley, blackcurrant, coconut, orange blossom","peach, sandalwood, vanilla, raspberry, marine, caramel, orcanox, amber wood, musk",Versatile,Unisex,4578.0,4578.0,"bergamot, rhubarb, grapefruit, pear, pineapple, lemon, mint, apple, jasmine, violet, rose, lily of the valley, blackcurrant, coconut, orange blossom, peach, sandalwood, vanilla, raspberry, marine, caramel, orcanox, amber wood, musk",12.34104487465108,24,5
HRMN-0855,CORPORAT,Xociety,249000.0,50.0,Edp,pineapple,ylang ylang,amberwood,Day,Unisex,4980.0,4980.0,"pineapple, ylang ylang, amberwood",12.425212191503038,3,0
HRMN-0856,COPIUM,Xociety,249000.0,50.0,Edp,chamomile,pear,"sandalwood, musk",Night,Unisex,4980.0,4980.0,"chamomile, pear, sandalwood, musk",12.425212191503038,4,1
HRMN-0857,Sixty Nine Degrees,Naisday,105000.0,30.0,Xdp,"peach, rhubarb, pear, green melon","jasmine, freesia, rose, lily of the valley","patchouli, sandalwood, musks, cashmere floral, oriental scent",Day,Unisex,3500.0,3500.0,"peach, rhubarb, pear, green melon, jasmine, freesia, rose, lily of the valley, patchouli, sandalwood, musks, cashmere floral, oriental scent",11.561725152903833,13,5
HRMN-0858,Intimate Moment,Naisday,111000.0,30.0,Xdp,apple,"rose, jasmine peony","vanilla bean, amber floral, oriental scent",Versatile,Unisex,3700.0,3700.0,"apple, rose, jasmine peony, vanilla bean, amber floral, oriental scent",11.6172944892629,6,1
HRMN-0859,Wonka,Naisday,110000.0,30.0,Xdp,caramel,"coumarin, madu","vanila, white musks",Versatile,Unisex,3666.6666666666665,3666.6666666666665,"caramel, coumarin, madu, vanila, white musks",11.608244735642321,5,1
HRMN-0860,Thousand Kisses,Naisday,95000.0,30.0,Xdp,"green apple, pear, lemonade accord, mint leaves","rose, lily of the valley, fresh flowers","cedarwood, moss, woody amber, patchouli",Versatile,Unisex,3166.6666666666665,3166.6666666666665,"green apple, pear, lemonade accord, mint leaves, rose, lily of the valley, fresh flowers, cedarwood, moss, woody amber, patchouli",11.461642696843066,11,5
HRMN-0861,Scandalicious,Naisday,104000.0,30.0,Xdp,"bergamot, grapefruit, pepper, fig, watery","violet, patchouli, fennel, geranium","tonka bean, vetiver, incense, musks",Versatile,Unisex,3466.6666666666665,3466.6666666666665,"bergamot, grapefruit, pepper, fig, watery, violet, patchouli, fennel, geranium, tonka bean, vetiver, incense, musks",11.552155793461898,13,3
HRMN-0862,Wish of Tomorrow,Naisday,115000.0,30.0,Xdp,"bergamot, grapefruit, pear, blackcurrant","jasmine, violet, lily of the valley, orange blossom","patchouli, vanilla, moss, amber",Versatile,Unisex,3833.3333333333335,3833.3333333333335,"bergamot, grapefruit, pear, blackcurrant, jasmine, violet, lily of the valley, orange blossom, patchouli, vanilla, moss, amber",11.652696102959753,12,5
HRMN-0863,Santorini,Naisday,111000.0,30.0,Xdp,"mandarin, galbanum, ylang","tuberose, white floral, orange flower","vanilla, tonka bean, musk",Versatile,Unisex,3700.0,3700.0,"mandarin, galbanum, ylang, tuberose, white floral, orange flower, vanilla, tonka bean, musk",11.6172944892629,9,3
HRMN-0864,Morning X,Naisday,108000.0,30.0,Xdp,"orange, grapefruit, bergamot, pink pepper","muguet, heliotrope, jasmine","vanilla, sandalwood, vetiver, patchouli",Night,Unisex,3600.0,3600.0,"orange, grapefruit, bergamot, pink pepper, muguet, heliotrope, jasmine, vanilla, sandalwood, vetiver, patchouli",11.58989576532275,11,2
HRMN-0865,O.N.S,Naisday,106000.0,30.0,Xdp,"bergamot, mandarin, carrot seeds, almond","jasmine, white floral, rose, petalia","cocoa butter, tonka bean, coffe, mocha, vanilla",Night,Unisex,3533.3333333333335,3533.3333333333335,"bergamot, mandarin, carrot seeds, almond, jasmine, white floral, rose, petalia, cocoa butter, tonka bean, coffe, mocha, vanilla",11.571203807011969,13,3
HRMN-0866,Dance Floor,Naisday,110000.0,30.0,Xdp,"green, bergamot, coconut",jasmine,vanila,Day,Female,3666.6666666666665,3666.6666666666665,"green, bergamot, coconut, jasmine, vanila",11.608244735642321,5,4
HRMN-0867,Dans,Sciesa,300000.0,50.0,Edp,"anise, grapefruit","rose, patchouli",white musk,Versatile,Unisex,6000.0,6000.0,"anise, grapefruit, rose, patchouli, white musk",12.611541086966115,5,1
HRMN-0868,Corso,Sciesa,390000.0,50.0,Edp,lemon,"plum, rose, saffron","vanilla, dry wood",Night,Unisex,7800.0,7800.0,"lemon, plum, rose, saffron, vanilla, dry wood",12.873904582205107,6,1
HRMN-0869,Ives,Gauri,80000.0,30.0,Edp,floral,floral,vanilla,Day,Female,2666.6666666666665,2666.6666666666665,"floral, floral, vanilla",11.289794413577894,3,1
HRMN-0870,Grania,Gauri,80000.0,30.0,Edp,"black currant, green mandarin, lavender, mandarin orange, petitgrain","neroli, rose, patchouli, oakmoss, orange blossom, jasmine","white musk, madagascar vanilla, cedar, ambergris",Night,Unisex,2666.6666666666665,2666.6666666666665,"black currant, green mandarin, lavender, mandarin orange, petitgrain, neroli, rose, patchouli, oakmoss, orange blossom, jasmine, white musk, madagascar vanilla, cedar, ambergris",11.289794413577894,15,4
HRMN-0871,ILEANA,Gauri,80000.0,30.0,Edp,"plum, ozonic, grapefruit, bergamot","hazelnut, honey, cedar, cashmere wood, jasmine, orange blossom","amberwood, patchouli, oakmoss, vetiver",Versatile,Male,2666.6666666666665,2666.6666666666665,"plum, ozonic, grapefruit, bergamot, hazelnut, honey, cedar, cashmere wood, jasmine, orange blossom, amberwood, patchouli, oakmoss, vetiver",11.289794413577894,14,4
HRMN-0872,ALENA,Gauri,80000.0,30.0,Edp,"green notes, orange","jasmine sambac, honeysuckle, tuberose","vanilla, sandalwood, oris root",Day,Female,2666.6666666666665,2666.6666666666665,"green notes, orange, jasmine sambac, honeysuckle, tuberose, vanilla, sandalwood, oris root",11.289794413577894,8,4
HRMN-0873,ULICIA,Gauri,80000.0,30.0,Edp,"bulgarian rose, hawthorn, black currant, mandarin orange, petitgrain","parma violet, opoponax, jasmine, lavender, orange blossom","white musk, incense, madagascar vanilla, cedar, ambergris",Night,Female,2666.6666666666665,2666.6666666666665,"bulgarian rose, hawthorn, black currant, mandarin orange, petitgrain, parma violet, opoponax, jasmine, lavender, orange blossom, white musk, incense, madagascar vanilla, cedar, ambergris",11.289794413577894,15,4
HRMN-0874,ALLURE,Gauri,80000.0,30.0,Edp,rum,vanilla,musk,Night,Unisex,2666.6666666666665,2666.6666666666665,"rum, vanilla, musk",11.289794413577894,3,1
HRMN-0875,RAELYNN,Gauri,80000.0,30.0,Edp,floral,citrus,,Day,Female,2666.6666666666665,2666.6666666666665,"floral, citrus",11.289794413577894,2,1
